staySilent\2.png → 2.webp | Saved 2557679 bytes (95.5%)
staySilent\3.png → 3.webp | Saved 2526533 bytes (96.6%)
staySilent\4.png → 4.webp | Saved 2526533 bytes (96.6%)
staySilent\5.png → 5.webp | Saved 2552259 bytes (95.5%)
staySilent\6.png → 6.webp | Saved 2526533 bytes (96.6%)
sueHarukata\1.png → 1.webp | Saved 2214263 bytes (95.9%)
sueHarukata\2.png → 2.webp | Saved 2554433 bytes (95.4%)
sueHarukata\3.png → 3.webp | Saved 2554433 bytes (95.4%)
theLactoseLegacy\1.png → 1.webp | Saved 2437784 bytes (96.3%)
theLactoseLegacy\2.png → 2.webp | Saved 2280012 bytes (94.0%)
theLactoseLegacy\3.png → 3.webp | Saved 2280012 bytes (94.0%)
theLactoseLegacy\4.png → 4.webp | Saved 2348214 bytes (93.8%)
theLactoseLegacy\5.png → 5.webp | Saved 2341075 bytes (94.2%)
theLactoseLegacy\6.png → 6.webp | Saved 2381444 bytes (93.6%)
theLactoseLegacy\7.png → 7.webp | Saved 2389142 bytes (93.7%)
theLactoseLegacy\8.png → 8.webp | Saved 2389853 bytes (93.8%)
walkToFirstPeriod\1.png → 1.webp | Saved 2208862 bytes (96.0%)
